장소 이름,위도,경도
삼호할인마트,126.4728468823707,34.74413651628555
하나마트,126.4567143024205,34.75298593906155
하나로마트식자재판매장,126.473307146977,34.7486996304475
한베마트,126.454772415009,34.7533270055916
종원마트,126.47448991731989,34.74783127614966
솔마트,126.468984926536,34.7455872308559
카안니잉마트,126.454502773644,34.7524784766265
금호축산마트,126.460123996565,34.7538213825374
먹싸마트,126.48502663443686,34.75129172114224
빅C마트,126.454567497713,34.7567532314071
블리스마트,126.452781778719,34.7559231382561
한양마트,126.462816764678,34.7469807982433
타이푸드마트,126.455407664133,34.7515549799951
렉지안마트,126.461176091623,34.7586431538923
세자매DC마트,126.475515782165,34.7462122632371
리타 아세안 마트,126.453528104576,34.7532150622169
삼호농협하나로마트 전기차충전소,126.47310917099335,34.748576182675954
CU 삼호중앙점,126.46622147402,34.7453371788771
하나은행365 삼호식자재마트,126.453482506731,34.7538368274516
우리동네 대불DC마트점,126.453109216292,34.7551277669814
신안농협하나로마트 로컬푸드직매장,126.11371558294964,34.82856314459806
신안농협하나로마트 자은점,126.046075670822,34.8841198239967
북신안농협하나로마트 증도점,126.14007123428,35.0011934386101
신안농협하나로마트 팔금점,126.142918050679,34.7839162759693
천사마트,126.114509348637,34.8291602243988
우전마트,126.138034618608,34.9643317735168
삼양할인마트,126.04500337149108,34.88556709624652
88마트,126.112487755929,34.8280782692513
서울마트,126.24453023374994,34.84960520587167
남양마트,126.142932620937,34.7841976091347
제이월드마트,126.04559588579,34.8836112981447
발리마트,126.22812446580316,34.84824026446633
천냥&DC마트,126.384090357389,34.7864932368393
한우리마트고 성심점,126.38146348101104,34.786681829522614
신안할인마트,126.38492004394,34.7833461477874
새한24시할인마트,126.38089414247,34.7828939694327
아이티마트 목포점,126.384463582085,34.7905225646898
신할인마트,126.384983285645,34.7836574494108
남흥마트,126.382768524436,34.7826547023739
코사마트용산점,126.383382173932,34.7860786144547
행운마트,126.384860623836,34.7864935263139
동아마트,126.383290295654,34.781982200253
원풍마트,126.380935993655,34.7847501588235
보람야채마트,126.381746213564,34.7867148147926
DC마트 서산5호점,126.379718346986,34.7827789146512
코사마트 일신마트,126.383691572385,34.7844360332382
나들가게 용산마트,126.383291406487,34.786089872777
나들가게 행운마트,126.38481251198,34.7864986915473
압해낚시마트,126.334881602014,34.8202492007101
마트인,126.36608189697772,34.80584115506462
데이마트,126.369346154706,34.805415531389
청해마트,126.368761080302,34.8036061057742
코사마트 바다점,126.36824545917,34.8041550828729
실크밸리마트,126.3664748939,34.8048967389505
선경마트,126.365025053653,34.8028583438107
CU 목포등대점,126.367735481941,34.8033916583838
CU 목포북항점,126.36639136714102,34.803958855205465
압해농협하나로마트,126.3133543942065,34.86594877333986
섬마트,126.31553741371536,34.86381939953364
신흥마트,126.311689480769,34.8653426463611
풍년농약마트,126.315647873299,34.8636866168092
대성마트,126.31332325989548,34.86495797997304
CU 신안압해점,126.3143694512249,34.86487374527172
롯데슈퍼프레시 목포연산점,126.38508666782602,34.812115920935426
압해농협하나로마트 신장지점,126.354617122085,34.8394550116335
초원식자재마트,126.377335650392,34.810814555025
뉴하나로마트,126.377407250105,34.8053632947716
와이마트 목포대성점,126.38246327400188,34.803378046486095
팔레스마트,126.371071631275,34.8084495363199
신신마트,126.384896521871,34.8046117587772
와이마트 산정연산점,126.37849918131,34.8118877524557
도소매협동식자재마트,126.37613916217288,34.80947797073258
아시아 타이마트,126.378722700463,34.8077352744102
홈마트 연산점,126.38127588122197,34.81194066278606
차관마트,126.372156501431,34.8048928326376
비치마트,126.370983766915,34.8085067713156
반찬마트,126.377284135593,34.809817350803
대신마트,126.380736650903,34.8032313593354
에이플러스할인마트,126.37765120555,34.8043117146894
엠에스펫마트목포북향점,126.373842472735,34.8091164339901
현대할인마트,126.378404254023,34.8117214112975
초원식자재마트 주차장,126.377598908856,34.8103958527372
현대클래스마트,126.384323954097,34.8131252300081
개미마트연산점,126.381833049849,34.8127015660166
코사마트에이데이,126.37745043368,34.8042710264442
CU 목포산정점,126.3761594027736,34.805631829322586
CU 산정라인점,126.374370715897,34.807475010019
CU 목포보건소점,126.374276971737,34.8042619618568
나들가게 라인마트,126.375318271518,34.808482227101
나들가게 차관마트,126.372166220243,34.8049082064671
하늘24시마트,126.388260005606,34.7883675357345
영진할인마트,126.387352701204,34.7875408985083
